"tab_code","表章項目","cat01_code","産業","cat02_code","性別","cat03_code","就業状態","cat04_code","年齢階級","cat05_code","配偶関係","area_code","地域","time_code","時間軸（月次）","unit","value","annotation"
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2014000909","2014年9月","万人","91",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2014001010","2014年10月","万人","90",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2014001111","2014年11月","万人","85",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2014001212","2014年12月","万人","83",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2015000101","2015年1月","万人","82",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2015000202","2015年2月","万人","84",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2015000303","2015年3月","万人","86",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2015000404","2015年4月","万人","87",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2015000505","2015年5月","万人","85",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2015000606","2015年6月","万人","81",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2015000707","2015年7月","万人","85",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2015000808","2015年8月","万人","79",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2015000909","2015年9月","万人","83",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2015001010","2015年10月","万人","89",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2015001111","2015年11月","万人","83",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2015001212","2015年12月","万人","86",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2016000101","2016年1月","万人","91",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2016000202","2016年2月","万人","86",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2016000303","2016年3月","万人","84",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2016000404","2016年4月","万人","85",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2016000505","2016年5月","万人","82",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2016000606","2016年6月","万人","79",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2016000707","2016年7月","万人","78",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2016000808","2016年8月","万人","79",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2016000909","2016年9月","万人","83",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2016001010","2016年10月","万人","89",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2016001111","2016年11月","万人","86",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2016001212","2016年12月","万人","81",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2017000101","2017年1月","万人","87",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2017000202","2017年2月","万人","92",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2017000303","2017年3月","万人","85",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2017000404","2017年4月","万人","81",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2017000505","2017年5月","万人","84",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2017000606","2017年6月","万人","83",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2017000707","2017年7月","万人","81",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2017000808","2017年8月","万人","84",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2017000909","2017年9月","万人","88",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2017001010","2017年10月","万人","88",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2017001111","2017年11月","万人","84",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2017001212","2017年12月","万人","78",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2018000101","2018年1月","万人","78",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2018000202","2018年2月","万人","85",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2018000303","2018年3月","万人","86",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2018000404","2018年4月","万人","76",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2018000505","2018年5月","万人","82",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2018000606","2018年6月","万人","85",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2018000707","2018年7月","万人","85",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2018000808","2018年8月","万人","78",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2018000909","2018年9月","万人","76",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2018001010","2018年10月","万人","83",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2018001111","2018年11月","万人","82",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2018001212","2018年12月","万人","80",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2019000101","2019年1月","万人","80",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2019000202","2019年2月","万人","81",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2019000303","2019年3月","万人","81",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2019000404","2019年4月","万人","81",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2019000505","2019年5月","万人","87",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2019000606","2019年6月","万人","85",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2019000707","2019年7月","万人","86",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2019000808","2019年8月","万人","83",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2019000909","2019年9月","万人","82",""
"01","実数(人口)","000","全産業","1","男","02","就業者","07","25～29歳","02","有配偶","00000","全国","2019001010","2019年10月","万人","86",""
